completed_steps,train_loss,validation_loss,learning_rate,grad_norm
6020,1.7353624179959297,,0.0001257766237588514,0.35746819616736675
6040,1.71116753667593,,0.00012494914830087783,0.3451028371688662
6060,1.715464398264885,,0.0001241233195125859,0.35029165847041294
6080,1.7058755233883858,,0.0001232991713474915,0.3455617337937944
6100,1.734319917857647,,0.00012247673769001245,0.34086365426717324
6120,1.7253601178526878,,0.00012165605235407567,0.36360378174474806
6140,1.7283974662423134,,0.00012083714908172656,0.3401261490089387
6160,1.7193031385540962,,0.00012002006154174217,0.34772019614855776
6180,1.6710911840200424,,0.00011920482332824638,0.35124530128396614
6200,1.7268875315785408,1.728122466802597,0.00011839146795932922,0.38240736197345665
6220,1.7329761236906052,,0.0001175800288756685,0.3460122792078038
6240,1.7530507072806358,,0.00011677053943915483,0.35623220867174776
6260,1.7126388773322105,,0.0001159630329315203,0.37584839060744446
6280,1.7235282883048058,,0.00011515754255296978,0.3446416800389124
6300,1.735335499048233,,0.00011435410142081615,0.35366866730730606
6320,1.7293314412236214,,0.00011355274256811857,0.34450056230531056
6340,1.7110140398144722,,0.00011275349894232431,0.36694014068660386
6360,1.715385526418686,,0.00011195640340391431,0.36375786270265065
6380,1.7559909150004387,,0.00011116148872505198,0.35391378840443904
6400,1.7065848857164383,1.7296277701854705,0.0001103687875882358,0.36582451469688804
6420,1.7173262014985085,,0.00010957833258495568,0.3521131416187624
6440,1.7258156687021255,,0.00010879015621435288,0.3690771979018982
6460,1.7412000373005867,,0.00010800429088188405,0.3532648280825163
6480,1.7342339158058167,,0.00010722076889798844,0.37341446880419
6500,1.6790763586759567,,0.00010643962247676005,0.3814896667696571
6520,1.7421959936618805,,0.00010566088373462259,0.3684357805817745
6540,1.7103982791304588,,0.00010488458468900956,0.3463224718516833
6560,1.6632419303059578,,0.00010411075725704745,0.3514452457148888
6580,1.7426879480481148,,0.00010333943325424378,0.37115492100973757
6600,1.7146506905555725,1.7345405161380767,0.00010257064439317875,0.36497588066545866
6620,1.7113293632864952,,0.00010180442228220172,0.3568828920991018
6640,1.7240782752633095,,0.00010104079842413133,0.3546067794465325
6660,1.721714437007904,,0.00010027980421496053,0.37371381214706373
6680,1.6921316757798195,,9.952147094256547e-05,0.3485907454522661
6700,1.698742263019085,,9.876582978541953e-05,0.360710799379817
6720,1.7039665505290031,,9.801291181131093e-05,0.3528886275229432
6740,1.7146221175789833,,9.726274797606591e-05,0.3474008632200255
6760,1.6838550344109535,,9.651536912227546e-05,0.35060336387468927
6780,1.7494981959462166,,9.57708059780278e-05,0.35636556920939866
6800,1.7382828667759895,1.7058869838714599,9.502908915564458e-05,0.36478970361232754
6820,1.6969702616333961,,9.42902491504224e-05,0.35307232514504633
6840,1.673822045326233,,9.355431633937916e-05,0.3699580080997614
6860,1.7221345230937004,,9.282132098000486e-05,0.36225510998087
6880,1.721843808889389,,9.209129320901783e-05,0.37802719758351555
6900,1.6786689534783363,,9.136426304112558e-05,0.34579990369039676
6920,1.6766286343336105,,9.06402603677906e-05,0.372786678241575
6940,1.7202027812600136,,8.991931495600173e-05,0.35463288973674495
6960,1.7074357643723488,,8.92014564470499e-05,0.35365373531378574
6980,1.7148815616965294,,8.84867143553099e-05,0.3565456269000004
7000,1.7125799879431725,1.7582013666629792,8.77751180670264e-05,0.3523945111702298
7020,1.6957804709672928,,8.70666968391062e-05,0.36567745488000486
7040,1.679913878440857,,8.636147979791519e-05,0.3488453442441989
7060,1.6978645026683807,,8.565949593808063e-05,0.35148511458274156
7080,1.7129302769899368,,8.496077412129942e-05,0.3555104365930103
7100,1.6687204539775848,,8.426534307515111e-05,0.36462346659093603
7120,1.6874326914548874,,8.35732313919171e-05,0.3590056758390605
7140,1.6748138666152954,,8.288446752740487e-05,0.3557906159131619
7160,1.6831843554973602,,8.219907979977801e-05,0.35263496892837887
7180,1.7136907428503036,,8.15170963883922e-05,0.35500169814953014
7200,1.7154465913772583,1.699362760782242,8.083854533263625e-05,0.35427014985638067
7220,1.7011592015624046,,8.016345453077963e-05,0.35342177493763294
7240,1.672382190823555,,7.949185173882525e-05,0.3528557268575654
7260,1.6870233714580536,,7.882376456936827e-05,0.366178107499048
7280,1.7131434008479118,,7.815922049046098e-05,0.3658844702991776
7300,1.6981961652636528,,7.749824682448327e-05,0.3586979701338933
7320,1.66837327927351,,7.684087074701945e-05,0.3502016988500695
7340,1.6985327005386353,,7.618711928574081e-05,0.35203122321525343
7360,1.6955981403589249,,7.553701931929453e-05,0.35676644605793595
7380,1.6859940141439438,,7.489059757619851e-05,0.38526898342738397
7400,1.6897312253713608,1.698445552587509,7.42478806337423e-05,0.35175919536965394
7420,1.665887489914894,,7.360889491689468e-05,0.3569592313815892
7440,1.7250879630446434,,7.297366669721693e-05,0.34955933036927006
7460,1.6789695397019386,,7.234222209178289e-05,0.3471382554932963
7480,1.72662153840065,,7.17145870621051e-05,0.37032262895329976
7500,1.6686130091547966,,7.109078741306732e-05,0.3712473428361144
7520,1.7089954167604446,,7.047084879186375e-05,0.3558170906808385
7540,1.6862115412950516,,6.985479668694436e-05,0.3575616543218824
